TissueID;229ELogical;2bLogical;2bBasalLogical;Lineage;Location;Species
BUO1-F-T101;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO1-F-T112;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO1-F-T125;0;1;0;ABAE;Buoyem;Hipposideros abae
BUO1-F-T25;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO1-G-T17;1;0;0;ABAE;Buoyem;Hipposideros abae
BUO1-G-T22;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO1-G-T31;1;0;0;ABAE;Buoyem;Hipposideros abae
BUO1-G-T37;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO1-G-T8;0;1;0;ABAE;Buoyem;Hipposideros abae
BUO1-H-T138;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO1-H-T22;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO1-I-T37;0;1;0;ABAE;Buoyem;Hipposideros abae
BUO1-I-T98;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO1-K-T18;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO1-K-T64;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO1-K-T65;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO1-L-T113;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO1-L-T132;1;0;0;ABAE;Buoyem;Hipposideros abae
BUO1-L-T4;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO1-L-T43;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO1-L-T85;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO1-L-T91;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO1-M-T23;0;1;0;ABAE;Buoyem;Hipposideros abae
BUO2-A-T1;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO2-A-T103;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO2-A-T104;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO2-A-T110;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO2-A-T116;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO2-A-T117;0;0;0;ABAE;Buoyem;Hipposideros abae
BUO2-A-T125;0;0;0;ABAE;Buoyem;Hipposideros abae
